"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Camille","Top",5,"5.6%","4.4%","10.0%","40%","80%",18,7,18,5.1,"75.0%","13.5%","60%",23,-19,2,9.1,"32.4%",328,"24.1%","28.9%",0.47,0.17
"Cassiopeia","Middle",11,"12.2%","17.8%","30.0%","45%","36%",34,33,52,2.6,"58.9%","25.8%","0%",171,182,7.3,9.1,"27.2%",513,"28.2%","24.5%",0.49,0.12
"Cho'gath","Top",2,"2.2%","0.0%","2.2%","50%","100%",5,4,6,2.8,"73.3%","19.0%","0%",-87,-129,4.5,7.8,"22.5%",171,"13.4%","22.2%",0.51,0.24
"Corki","Middle",8,"8.9%","3.3%","12.2%","63%","63%",32,11,32,5.8,"66.0%","12.4%","38%",118,171,2.8,10,"30.5%",656,"34.1%","27.9%",0.55,0.25
"Diana","Jungle",1,"1.1%","10.0%","17.8%","0%","100%",1,5,9,2,"90.9%","27.8%","0%",403,820,16,5.5,"12.5%",246,"12.2%","14.5%",0.33,0.33
"Diana","Middle",6,"6.7%","10.0%","17.8%","67%","67%",11,14,28,2.8,"55.7%","29.8%","17%",11,-113,-5,8.7,"25.3%",376,"24.2%","23.3%",0.4,0.16
"Draven","ADC",3,"3.3%","1.1%","4.4%","0%","67%",7,7,16,3.3,"85.2%","12.1%","0%",234,-16,10.3,9.6,"34.0%",495,"30.0%","31.1%",0.35,0.24
"Ekko","Jungle",1,"1.1%","2.2%","6.7%","100%","100%",8,2,6,7,"63.6%","18.2%","100%",-916,-123,-11,6.1,"18.8%",454,"26.5%","20.1%",1.02,0.51
"Ekko","Middle",3,"3.3%","2.2%","6.7%","67%","100%",14,8,9,2.9,"52.3%","22.2%","0%",-197,-211,-9.7,9.2,"29.3%",528,"26.4%","26.1%",0.37,0.19
"Elise","Jungle",13,"14.4%","8.9%","23.3%","38%","62%",28,31,50,2.5,"58.2%","17.4%","8%",-209,-212,-3.5,4.8,"14.3%",267,"15.7%","15.6%",0.78,0.46
"Evelynn","Jungle",1,"1.1%","0.0%","1.1%","0%","100%",17,8,10,3.4,"87.1%","22.2%","0%",-56,619,10,4.9,"11.1%",1084,"35.2%","23.4%",0.41,0.14
"Ezreal","ADC",20,"22.2%","8.9%","31.1%","50%","95%",69,26,72,5.4,"69.1%","12.1%","15%",44,100,5.3,9.8,"33.0%",645,"36.0%","28.5%",0.41,0.29
"Galio","Support",3,"3.3%","1.1%","4.4%","33%","100%",5,12,11,1.3,"47.1%","25.5%","0%",614,142,38.7,4.4,"15.3%",261,"13.9%","14.6%",0.67,0.29
"Gangplank","Top",24,"26.7%","37.8%","64.4%","54%","33%",70,49,131,4.1,"67.2%","18.4%","21%",74,-102,-2.2,8.5,"28.7%",588,"31.1%","26.8%",0.49,0.12
"Gnar","Top",4,"4.4%","1.1%","5.6%","75%","50%",9,6,22,5.2,"58.5%","16.7%","25%",311,178,8.5,8.9,"29.0%",449,"20.2%","25.8%",0.41,0.14
